CusID,CompanyName,Address1,Address2,City,State,ZipCode,MainContact,MainPhone,MainFax,MainEmail,AcctNo,VendorNo,CusTypeID,CreatedOn,CreatedBy,LastModified,LastModifiedBy,Export849Extension
1110,EPIC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1111,"INNOVATIX LLC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1112,MINNESOTA MULTISTATE CONTRACTING ALLIANCE FOR PHARMACY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1113,PREMIER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1114,RxSS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1115,SOUTHEASTERN GROCERS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1116,VA/FSS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/15/2017 11:52,dbo,11/15/2017 11:52,dbo,NULL
1117,Public Health,,,,NULL,,,,,,,,NULL,5/1/2018 12:25,mhoenig,5/1/2018 12:25,mhoenig,
1118,Pharmacy Select,,,,NULL,,,,,,,,NULL,8/8/2018 11:22,mhoenig,8/8/2018 11:22,mhoenig,
1119,Pfizer,,,,NULL,,,,,,,,NULL,3/1/2019 14:26,mhoenig,3/1/2019 14:26,mhoenig,
